END_ID;latitude;longitude;SUBCLASS;SUBHIERARQUIA;NOME DO PRÉDIO;NE NAME;REGIONAL;UF;Testes Programados GMG;MANTENEDORA;ATENDIMENTO;LOCALIDADE;TIPO ;DETENTOR DA ÁREA;TIPO DE INFRA;TIPO DE ABRIGO ;OWNER RESPONSÁVEL;Resp. Green;CLASSIFICAÇÃO;Elemento de rede;TIPOLOGIA TRANSPORTE;REGIONAL_OLD;TIPO DE CONTRATO DA ÁREA;TIPO DE ABRIGO;ENDEREÇO;LATITUDE;LONGITUDE;CLASSFICAÇÃO GSBI
ESAVQ_0001;-20,91669;-41,19361;;;;;;;;;;;;;;;;;;;;;;;;;;
ESMQI_0001;-20,95253;-41,33836;;;;;;;;;;;;;;;;;;;;;;;;;;
DFBSA_0245;-15,81381;-48,11503;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0709;-23,51031;-46,64222;;;;;;;;;;;;;;;;;;;;;;;;;;
MASLS_0065;-2,53972;-44,24056;;;;;;;;;;;;;;;;;;;;;;;;;;
PBERA_0002;-7,01778;-35,85892;;;;;;;;;;;;;;;;;;;;;;;;;;
PIMHG_0001;-5,56139;-42,60722;;;;;;;;;;;;;;;;;;;;;;;;;;
PICYT_0001;-8,81586;-44,22167;;;;;;;;;;;;;;;;;;;;;;;;;;
CEFLA_0056;-3,73139;-38,51197;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0742;-23,631;-46,59481;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0746;-23,53536;-46,52122;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_0592;-22,98431;-43,43061;;;;;;;;;;;;;;;;;;;;;;;;;;
PABCN_0006;-1,52775;-48,67756;;;;;;;;;;;;;;;;;;;;;;;;;;
ESRIL_0001;-19,26781;-40,32997;;;;;;;;;;;;;;;;;;;;;;;;;;
MGMCL_0019;-16,89369;-43,86681;;;;;;;;;;;;;;;;;;;;;;;;;;
ESBREE0001;-20,16822;-41,26944;;;;;;;;;;;;;;;;;;;;;;;;;;
ESMNP_0001;-18,86311;-41,12269;;;;;;;;;;;;;;;;;;;;;;;;;;
ESVPV_0001;-18,62808;-40,62417;;;;;;;;;;;;;;;;;;;;;;;;;;
ESSSD_0001;-21,02308;-41,65258;;;;;;;;;;;;;;;;;;;;;;;;;;
SCIAI_0009;-26,94222;-48,71333;;;;;;;;;;;;;;;;;;;;;;;;;;
SCIAI_0010;-26,94889;-48,63639;;;;;;;;;;;;;;;;;;;;;;;;;;
SCIRU_0001;-28,34419;-48,80697;;;;;;;;;;;;;;;;;;;;;;;;;;
SCIXI_0001;-27,02725;-51,89947;;;;;;;;;;;;;;;;;;;;;;;;;;
SCJGS_0008;-26,56147;-49,15864;;;;;;;;;;;;;;;;;;;;;;;;;;
SCJGS_0009;-26,3005;-49,0626;;;;;;;;;;;;;;;;;;;;;;;;;;
SCJGS_0010;-26,281;-49,06289;;;;;;;;;;;;;;;;;;;;;;;;;;
SCJUU_0004;-28,75333;-49,13167;;;;;;;;;;;;;;;;;;;;;;;;;;
SCJUU_0005;-28,451;-49,075;;;;;;;;;;;;;;;;;;;;;;;;;;
SCJVE_0040;-26,33806;-48,82917;;;;;;;;;;;;;;;;;;;;;;;;;;
SCLGA_0005;-28,3401;-48,7179;;;;;;;;;;;;;;;;;;;;;;;;;;
SCLGS_0007;-27,78417;-50,32197;;;;;;;;;;;;;;;;;;;;;;;;;;
SCLNG_0001;-26,92392;-50,69336;;;;;;;;;;;;;;;;;;;;;;;;;;
SCLOS_0001;-27,1725;-49,54364;;;;;;;;;;;;;;;;;;;;;;;;;;
SCMEI_0001;-28,83609;-49,64771;;;;;;;;;;;;;;;;;;;;;;;;;;
SCPEL_0004;-27,16197;-48,60725;;;;;;;;;;;;;;;;;;;;;;;;;;
SCRCD_0001;-26,73736;-49,27567;;;;;;;;;;;;;;;;;;;;;;;;;;
CEESB_0005;-3,85972;-38,47031;POP LD;;EUSEBIO;;TNE;CE;;;;;;ATC;GREENFIELD;;;;MAIN SITE;;POP LD - Prioridade 2 - Add/Drop 2 direções;TNE;COMPARTILHADO;OPSS;RUA HELDESA FILHO, 120  COACU;-3.859722;-38.470306;Gold
PRMGA_0024;-23,42306;-51,93611;;;;;;;;;;;;;;;;;;;;;;;;;;
PRMGA_0025;-23,4225;-51,95639;;;;;;;;;;;;;;;;;;;;;;;;;;
RSPLT_0020;-31,76694;-50,34139;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_1760;-22,90028;-43,17944;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_1761;-22,9;-43,17833;;;;;;;;;;;;;;;;;;;;;;;;;;
CEACR_0003;-6,08836;-39,45472;;;;;;;;;;;;;;;;;;;;;;;;;;
CEFLA_0109;-3,73833;-38,48889;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_0565;-22,87192;-43,23189;;;;;;;;;;;;;;;;;;;;;;;;;;
PASXU_0001;-6,64331;-51,99156;;;;;;;;;;;;;;;;;;;;;;;;;;
PATUU_0004;-3,76397;-49,68217;;;;;;;;;;;;;;;;;;;;;;;;;;
MGTPC_0002;-18,59628;-48,70389;;;;;;;;;;;;;;;;;;;;;;;;;;
RSCRR_0002;-28,12675;-54,72883;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0724;-23,73392;-46,70083;;;;;;;;;;;;;;;;;;;;;;;;;;
MGBHE_0218;-19,88094;-43,99906;;;;;;;;;;;;;;;;;;;;;;;;;;
MGCNN_0001;-18,58761;-49,19869;;;;;;;;;;;;;;;;;;;;;;;;;;
RSPAE_0149;-30,02881;-51,22947;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_0575;-22,96608;-43,17872;;;;;;;;;;;;;;;;;;;;;;;;;;
RJRJO_0576;-22,922;-43,23175;;;;;;;;;;;;;;;;;;;;;;;;;;
SPLIS_0003;-21,67581;-49,75294;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0725;-23,55931;-46,66056;;;;;;;;;;;;;;;;;;;;;;;;;;
PABLM_0103;-1,45528;-48,4625;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0726;-23,57619;-46,68714;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0727;-23,59372;-46,68986;;;;;;;;;;;;;;;;;;;;;;;;;;
SPITA_0008;-23,00836;-46,85403;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0728;-23,75172;-46,74814;;;;;;;;;;;;;;;;;;;;;;;;;;
RSSCS_0004;-28,88944;-51,12972;;;;;;;;;;;;;;;;;;;;;;;;;;
MASLS_0072;-2,49956;-44,28878;;;;;;;;;;;;;;;;;;;;;;;;;;
RJTRL_0016;-22,46528;-42,9975;;;;;;;;;;;;;;;;;;;;;;;;;;
PERCE_0159;-8,05169;-34,90336;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0471;-23,52453;-46,73533;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0472;-23,53331;-46,72594;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0473;-23,57472;-46,65097;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0474;-23,5935;-46,64194;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0475;-23,58081;-46,63786;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0476;-23,5815;-46,64906;;;;;;;;;;;;;;;;;;;;;;;;;;
SPSPO_0478;-23,589;-46,64575;;;;;;;;;;;;;;;;;;;;;;;;;;
